"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"South Dakota"	"46"	"2005"	"2005"	"Drug-induced causes"	"D"	47	775493	6.06	6.33
	"South Dakota"	"46"	"2005"	"2005"	"Alcohol-induced causes"	"A"	87	775493	11.22	11.02
"Total"	"South Dakota"	"46"	"2005"	"2005"			134	775493	17.28	17.35
	"South Dakota"	"46"	"2006"	"2006"	"Drug-induced causes"	"D"	43	783033	5.49	5.73
	"South Dakota"	"46"	"2006"	"2006"	"Alcohol-induced causes"	"A"	98	783033	12.52	12.11
"Total"	"South Dakota"	"46"	"2006"	"2006"			141	783033	18.01	17.83
	"South Dakota"	"46"	"2007"	"2007"	"Drug-induced causes"	"D"	34	791623	4.29	4.33
	"South Dakota"	"46"	"2007"	"2007"	"Alcohol-induced causes"	"A"	81	791623	10.23	9.94
"Total"	"South Dakota"	"46"	"2007"	"2007"			115	791623	14.53	14.28
	"South Dakota"	"46"	"2008"	"2008"	"Drug-induced causes"	"D"	57	799124	7.13	7.72
	"South Dakota"	"46"	"2008"	"2008"	"Alcohol-induced causes"	"A"	103	799124	12.89	12.33
"Total"	"South Dakota"	"46"	"2008"	"2008"			160	799124	20.02	20.06
	"South Dakota"	"46"	"2009"	"2009"	"Drug-induced causes"	"D"	51	807067	6.32	6.89
	"South Dakota"	"46"	"2009"	"2009"	"Alcohol-induced causes"	"A"	84	807067	10.41	9.77
"Total"	"South Dakota"	"46"	"2009"	"2009"			135	807067	16.73	16.66
	"South Dakota"	"46"	"2010"	"2010"	"Drug-induced causes"	"D"	48	814180	5.90	6.63
	"South Dakota"	"46"	"2010"	"2010"	"Alcohol-induced causes"	"A"	89	814180	10.93	10.68
"Total"	"South Dakota"	"46"	"2010"	"2010"			137	814180	16.83	17.31
	"South Dakota"	"46"	"2011"	"2011"	"Drug-induced causes"	"D"	60	824082	7.28	7.50
	"South Dakota"	"46"	"2011"	"2011"	"Alcohol-induced causes"	"A"	120	824082	14.56	13.37
"Total"	"South Dakota"	"46"	"2011"	"2011"			180	824082	21.84	20.88
	"South Dakota"	"46"	"2012"	"2012"	"Drug-induced causes"	"D"	45	833354	5.40	5.91
	"South Dakota"	"46"	"2012"	"2012"	"Alcohol-induced causes"	"A"	139	833354	16.68	16.60
"Total"	"South Dakota"	"46"	"2012"	"2012"			184	833354	22.08	22.51
	"South Dakota"	"46"	"2013"	"2013"	"Drug-induced causes"	"D"	57	844877	6.75	7.13
	"South Dakota"	"46"	"2013"	"2013"	"Alcohol-induced causes"	"A"	123	844877	14.56	13.65
"Total"	"South Dakota"	"46"	"2013"	"2013"			180	844877	21.30	20.75
	"South Dakota"	"46"	"2014"	"2014"	"Drug-induced causes"	"D"	70	853175	8.20	8.58
	"South Dakota"	"46"	"2014"	"2014"	"Alcohol-induced causes"	"A"	145	853175	17.00	18.01
"Total"	"South Dakota"	"46"	"2014"	"2014"			215	853175	25.20	26.58
	"South Dakota"	"46"	"2015"	"2015"	"Drug-induced causes"	"D"	72	858469	8.39	9.28
	"South Dakota"	"46"	"2015"	"2015"	"Alcohol-induced causes"	"A"	152	858469	17.71	18.17
"Total"	"South Dakota"	"46"	"2015"	"2015"			224	858469	26.09	27.45
	"South Dakota"	"46"	"2016"	"2016"	"Drug-induced causes"	"D"	75	865454	8.67	9.06
	"South Dakota"	"46"	"2016"	"2016"	"Alcohol-induced causes"	"A"	159	865454	18.37	16.79
"Total"	"South Dakota"	"46"	"2016"	"2016"			234	865454	27.04	25.87
	"South Dakota"	"46"	"2017"	"2017"	"Drug-induced causes"	"D"	81	869666	9.31	9.49
	"South Dakota"	"46"	"2017"	"2017"	"Alcohol-induced causes"	"A"	181	869666	20.81	20.16
"Total"	"South Dakota"	"46"	"2017"	"2017"			262	869666	30.13	29.65
"Total"	"South Dakota"	"46"					2920	15276970	19.11	19.08
	"Tennessee"	"47"	"1999"	"1999"	"Drug-induced causes"	"D"	374	5638706	6.63	6.59
	"Tennessee"	"47"	"1999"	"1999"	"Alcohol-induced causes"	"A"	395	5638706	7.01	6.90
"Total"	"Tennessee"	"47"	"1999"	"1999"			769	5638706	13.64	13.49
	"Tennessee"	"47"	"2000"	"2000"	"Drug-induced causes"	"D"	426	5689283	7.49	7.45
	"Tennessee"	"47"	"2000"	"2000"	"Alcohol-induced causes"	"A"	389	5689283	6.84	6.72
"Total"	"Tennessee"	"47"	"2000"	"2000"			815	5689283	14.33	14.12
	"Tennessee"	"47"	"2001"	"2001"	"Drug-induced causes"	"D"	469	5750789	8.16	8.12
	"Tennessee"	"47"	"2001"	"2001"	"Alcohol-induced causes"	"A"	409	5750789	7.11	6.88
"Total"	"Tennessee"	"47"	"2001"	"2001"			878	5750789	15.27	15.01
	"Tennessee"	"47"	"2002"	"2002"	"Drug-induced causes"	"D"	524	5795918	9.04	9.01
	"Tennessee"	"47"	"2002"	"2002"	"Alcohol-induced causes"	"A"	395	5795918	6.82	6.49
"Total"	"Tennessee"	"47"	"2002"	"2002"			919	5795918	15.86	15.50
	"Tennessee"	"47"	"2003"	"2003"	"Drug-induced causes"	"D"	713	5847812	12.19	12.21
	"Tennessee"	"47"	"2003"	"2003"	"Alcohol-induced causes"	"A"	479	5847812	8.19	7.81
"Total"	"Tennessee"	"47"	"2003"	"2003"			1192	5847812	20.38	20.05
	"Tennessee"	"47"	"2004"	"2004"	"Drug-induced causes"	"D"	822	5910809	13.91	13.86
	"Tennessee"	"47"	"2004"	"2004"	"Alcohol-induced causes"	"A"	461	5910809	7.80	7.32
"Total"	"Tennessee"	"47"	"2004"	"2004"			1283	5910809	21.71	21.15
	"Tennessee"	"47"	"2005"	"2005"	"Drug-induced causes"	"D"	936	5991057	15.62	15.59
	"Tennessee"	"47"	"2005"	"2005"	"Alcohol-induced causes"	"A"	451	5991057	7.53	6.94
"Total"	"Tennessee"	"47"	"2005"	"2005"			1387	5991057	23.15	22.54
	"Tennessee"	"47"	"2006"	"2006"	"Drug-induced causes"	"D"	1030	6088766	16.92	16.88
	"Tennessee"	"47"	"2006"	"2006"	"Alcohol-induced causes"	"A"	485	6088766	7.97	7.33
"Total"	"Tennessee"	"47"	"2006"	"2006"			1515	6088766	24.88	24.21
	"Tennessee"	"47"	"2007"	"2007"	"Drug-induced causes"	"D"	1035	6175727	16.76	16.65
	"Tennessee"	"47"	"2007"	"2007"	"Alcohol-induced causes"	"A"	481	6175727	7.79	7.08
"Total"	"Tennessee"	"47"	"2007"	"2007"			1516	6175727	24.55	23.72
	"Tennessee"	"47"	"2008"	"2008"	"Drug-induced causes"	"D"	977	6247411	15.64	15.42
	"Tennessee"	"47"	"2008"	"2008"	"Alcohol-induced causes"	"A"	458	6247411	7.33	6.60
"Total"	"Tennessee"	"47"	"2008"	"2008"			1435	6247411	22.97	22.04
	"Tennessee"	"47"	"2009"	"2009"	"Drug-induced causes"	"D"	1000	6306019	15.86	15.74
	"Tennessee"	"47"	"2009"	"2009"	"Alcohol-induced causes"	"A"	514	6306019	8.15	7.10
"Total"	"Tennessee"	"47"	"2009"	"2009"			1514	6306019	24.01	22.85
	"Tennessee"	"47"	"2010"	"2010"	"Drug-induced causes"	"D"	1132	6346105	17.84	17.67
	"Tennessee"	"47"	"2010"	"2010"	"Alcohol-induced causes"	"A"	542	6346105	8.54	7.52
"Total"	"Tennessee"	"47"	"2010"	"2010"			1674	6346105	26.38	25.23
	"Tennessee"	"47"	"2011"	"2011"	"Drug-induced causes"	"D"	1123	6403353	17.54	17.67
	"Tennessee"	"47"	"2011"	"2011"	"Alcohol-induced causes"	"A"	550	6403353	8.59	7.65
"Total"	"Tennessee"	"47"	"2011"	"2011"			1673	6403353	26.13	25.32
	"Tennessee"	"47"	"2012"	"2012"	"Drug-induced causes"	"D"	1221	6456243	18.91	18.92
	"Tennessee"	"47"	"2012"	"2012"	"Alcohol-induced causes"	"A"	608	6456243	9.42	8.28
"Total"	"Tennessee"	"47"	"2012"	"2012"			1829	6456243	28.33	27.21
	"Tennessee"	"47"	"2013"	"2013"	"Drug-induced causes"	"D"	1284	6495978	19.77	19.53
	"Tennessee"	"47"	"2013"	"2013"	"Alcohol-induced causes"	"A"	618	6495978	9.51	8.27
"Total"	"Tennessee"	"47"	"2013"	"2013"			1902	6495978	29.28	27.86
	"Tennessee"	"47"	"2014"	"2014"	"Drug-induced causes"	"D"	1330	6549352	20.31	20.42
	"Tennessee"	"47"	"2014"	"2014"	"Alcohol-induced causes"	"A"	640	6549352	9.77	8.61
"Total"	"Tennessee"	"47"	"2014"	"2014"			1970	6549352	30.08	29.03
	"Tennessee"	"47"	"2015"	"2015"	"Drug-induced causes"	"D"	1546	6600299	23.42	23.55
	"Tennessee"	"47"	"2015"	"2015"	"Alcohol-induced causes"	"A"	637	6600299	9.65	8.36
"Total"	"Tennessee"	"47"	"2015"	"2015"			2183	6600299	33.07	31.87
	"Tennessee"	"47"	"2016"	"2016"	"Drug-induced causes"	"D"	1740	6651194	26.16	26.19
	"Tennessee"	"47"	"2016"	"2016"	"Alcohol-induced causes"	"A"	739	6651194	11.11	9.57
"Total"	"Tennessee"	"47"	"2016"	"2016"			2479	6651194	37.27	35.76
	"Tennessee"	"47"	"2017"	"2017"	"Drug-induced causes"	"D"	1898	6715984	28.26	28.39
	"Tennessee"	"47"	"2017"	"2017"	"Alcohol-induced causes"	"A"	804	6715984	11.97	10.23
"Total"	"Tennessee"	"47"	"2017"	"2017"			2702	6715984	40.23	38.60
"Total"	"Tennessee"	"47"					29635	117660805	25.19	24.31
	"Texas"	"48"	"1999"	"1999"	"Drug-induced causes"	"D"	1250	20558220	6.08	6.17
	"Texas"	"48"	"1999"	"1999"	"Alcohol-induced causes"	"A"	1180	20558220	5.74	6.39
"Total"	"Texas"	"48"	"1999"	"1999"			2430	20558220	11.82	12.56
	"Texas"	"48"	"2000"	"2000"	"Drug-induced causes"	"D"	1211	20851820	5.81	5.89
	"Texas"	"48"	"2000"	"2000"	"Alcohol-induced causes"	"A"	1191	20851820	5.71	6.33
"Total"	"Texas"	"48"	"2000"	"2000"			2402	20851820	11.52	12.22
	"Texas"	"48"	"2001"	"2001"	"Drug-induced causes"	"D"	1522	21319622	7.14	7.28
	"Texas"	"48"	"2001"	"2001"	"Alcohol-induced causes"	"A"	1219	21319622	5.72	6.28
"Total"	"Texas"	"48"	"2001"	"2001"			2741	21319622	12.86	13.55
	"Texas"	"48"	"2002"	"2002"	"Drug-induced causes"	"D"	1780	21690325	8.21	8.38
	"Texas"	"48"	"2002"	"2002"	"Alcohol-induced causes"	"A"	1245	21690325	5.74	6.19
"Total"	"Texas"	"48"	"2002"	"2002"			3025	21690325	13.95	14.58
	"Texas"	"48"	"2003"	"2003"	"Drug-induced causes"	"D"	1985	22030931	9.01	9.25
	"Texas"	"48"	"2003"	"2003"	"Alcohol-induced causes"	"A"	1168	22030931	5.30	5.69
"Total"	"Texas"	"48"	"2003"	"2003"			3153	22030931	14.31	14.93
	"Texas"	"48"	"2004"	"2004"	"Drug-induced causes"	"D"	2039	22394023	9.11	9.27
	"Texas"	"48"	"2004"	"2004"	"Alcohol-induced causes"	"A"	1193	22394023	5.33	5.68
"Total"	"Texas"	"48"	"2004"	"2004"			3232	22394023	14.43	14.99
	"Texas"	"48"	"2005"	"2005"	"Drug-induced causes"	"D"	2152	22778123	9.45	9.66
	"Texas"	"48"	"2005"	"2005"	"Alcohol-induced causes"	"A"	1271	22778123	5.58	5.85
"Total"	"Texas"	"48"	"2005"	"2005"			3423	22778123	15.03	15.53
	"Texas"	"48"	"2006"	"2006"	"Drug-induced causes"	"D"	2452	23359580	10.50	10.70
	"Texas"	"48"	"2006"	"2006"	"Alcohol-induced causes"	"A"	1371	23359580	5.87	6.12
"Total"	"Texas"	"48"	"2006"	"2006"			3823	23359580	16.37	16.80
	"Texas"	"48"	"2007"	"2007"	"Drug-induced causes"	"D"	2343	23831983	9.83	9.92
	"Texas"	"48"	"2007"	"2007"	"Alcohol-induced causes"	"A"	1360	23831983	5.71	5.89
"Total"	"Texas"	"48"	"2007"	"2007"			3703	23831983	15.54	15.81
	"Texas"	"48"	"2008"	"2008"	"Drug-induced causes"	"D"	2199	24309039	9.05	9.19
	"Texas"	"48"	"2008"	"2008"	"Alcohol-induced causes"	"A"	1344	24309039	5.53	5.67
"Total"	"Texas"	"48"	"2008"	"2008"			3543	24309039	14.57	14.82
	"Texas"	"48"	"2009"	"2009"	"Drug-induced causes"	"D"	2509	24801761	10.12	10.24
	"Texas"	"48"	"2009"	"2009"	"Alcohol-induced causes"	"A"	1413	24801761	5.70	5.75
"Total"	"Texas"	"48"	"2009"	"2009"			3922	24801761	15.81	15.99
	"Texas"	"48"	"2010"	"2010"	"Drug-induced causes"	"D"	2492	25145561	9.91	9.97
	"Texas"	"48"	"2010"	"2010"	"Alcohol-induced causes"	"A"	1579	25145561	6.28	6.28
"Total"	"Texas"	"48"	"2010"	"2010"			4071	25145561	16.19	16.23
	"Texas"	"48"	"2011"	"2011"	"Drug-induced causes"	"D"	2690	25674681	10.48	10.53
	"Texas"	"48"	"2011"	"2011"	"Alcohol-induced causes"	"A"	1596	25674681	6.22	6.18
"Total"	"Texas"	"48"	"2011"	"2011"			4286	25674681	16.69	16.69
	"Texas"	"48"	"2012"	"2012"	"Drug-induced causes"	"D"	2546	26059203	9.77	9.80
	"Texas"	"48"	"2012"	"2012"	"Alcohol-induced causes"	"A"	1677	26059203	6.44	6.35
"Total"	"Texas"	"48"	"2012"	"2012"			4223	26059203	16.21	16.15
	"Texas"	"48"	"2013"	"2013"	"Drug-induced causes"	"D"	2606	26448193	9.85	9.89
	"Texas"	"48"	"2013"	"2013"	"Alcohol-induced causes"	"A"	1769	26448193	6.69	6.53
"Total"	"Texas"	"48"	"2013"	"2013"			4375	26448193	16.54	16.45
	"Texas"	"48"	"2014"	"2014"	"Drug-induced causes"	"D"	2727	26956958	10.12	10.14
	"Texas"	"48"	"2014"	"2014"	"Alcohol-induced causes"	"A"	1915	26956958	7.10	6.94
"Total"	"Texas"	"48"	"2014"	"2014"			4642	26956958	17.22	17.09
	"Texas"	"48"	"2015"	"2015"	"Drug-induced causes"	"D"	2732	27469114	9.95	9.93
	"Texas"	"48"	"2015"	"2015"	"Alcohol-induced causes"	"A"	2073	27469114	7.55	7.34
"Total"	"Texas"	"48"	"2015"	"2015"			4805	27469114	17.49	17.26
	"Texas"	"48"	"2016"	"2016"	"Drug-induced causes"	"D"	2965	27862596	10.64	10.61
	"Texas"	"48"	"2016"	"2016"	"Alcohol-induced causes"	"A"	2205	27862596	7.91	7.64
"Total"	"Texas"	"48"	"2016"	"2016"			5170	27862596	18.56	18.22
	"Texas"	"48"	"2017"	"2017"	"Drug-induced causes"	"D"	3120	28304596	11.02	10.98
	"Texas"	"48"	"2017"	"2017"	"Alcohol-induced causes"	"A"	2325	28304596	8.21	7.88
"Total"	"Texas"	"48"	"2017"	"2017"			5445	28304596	19.24	18.88
"Total"	"Texas"	"48"					72414	461846329	15.68	15.96
	"Utah"	"49"	"1999"	"1999"	"Drug-induced causes"	"D"	212	2203482	9.62	10.98
	"Utah"	"49"	"1999"	"1999"	"Alcohol-induced causes"	"A"	127	2203482	5.76	7.47
"Total"	"Utah"	"49"	"1999"	"1999"			339	2203482	15.38	18.47
	"Utah"	"49"	"2000"	"2000"	"Drug-induced causes"	"D"	224	2233169	10.03	11.17
	"Utah"	"49"	"2000"	"2000"	"Alcohol-induced causes"	"A"	113	2233169	5.06	6.49
"Total"	"Utah"	"49"	"2000"	"2000"			337	2233169	15.09	17.71
	"Utah"	"49"	"2001"	"2001"	"Drug-induced causes"	"D"	216	2283715	9.46	10.87
	"Utah"	"49"	"2001"	"2001"	"Alcohol-induced causes"	"A"	115	2283715	5.04	6.38
"Total"	"Utah"	"49"	"2001"	"2001"			331	2283715	14.49	17.26
	"Utah"	"49"	"2002"	"2002"	"Drug-induced causes"	"D"	300	2324815	12.90	14.65
	"Utah"	"49"	"2002"	"2002"	"Alcohol-induced causes"	"A"	120	2324815	5.16	6.55
"Total"	"Utah"	"49"	"2002"	"2002"			420	2324815	18.07	21.19
	"Utah"	"49"	"2003"	"2003"	"Drug-induced causes"	"D"	368	2360137	15.59	16.93
	"Utah"	"49"	"2003"	"2003"	"Alcohol-induced causes"	"A"	117	2360137	4.96	6.05
"Total"	"Utah"	"49"	"2003"	"2003"			485	2360137	20.55	22.98
	"Utah"	"49"	"2004"	"2004"	"Drug-induced causes"	"D"	411	2401580	17.11	19.23
	"Utah"	"49"	"2004"	"2004"	"Alcohol-induced causes"	"A"	98	2401580	4.08	5.04
"Total"	"Utah"	"49"	"2004"	"2004"			509	2401580	21.19	24.27
	"Utah"	"49"	"2005"	"2005"	"Drug-induced causes"	"D"	481	2457719	19.57	21.58
	"Utah"	"49"	"2005"	"2005"	"Alcohol-induced causes"	"A"	133	2457719	5.41	6.66
"Total"	"Utah"	"49"	"2005"	"2005"			614	2457719	24.98	28.24
	"Utah"	"49"	"2006"	"2006"	"Drug-induced causes"	"D"	481	2525507	19.05	20.99
	"Utah"	"49"	"2006"	"2006"	"Alcohol-induced causes"	"A"	144	2525507	5.70	6.96
"Total"	"Utah"	"49"	"2006"	"2006"			625	2525507	24.75	27.97
	"Utah"	"49"	"2007"	"2007"	"Drug-induced causes"	"D"	546	2597746	21.02	22.95
	"Utah"	"49"	"2007"	"2007"	"Alcohol-induced causes"	"A"	144	2597746	5.54	6.49
"Total"	"Utah"	"49"	"2007"	"2007"			690	2597746	26.56	29.46
	"Utah"	"49"	"2008"	"2008"	"Drug-induced causes"	"D"	483	2663029	18.14	19.67
	"Utah"	"49"	"2008"	"2008"	"Alcohol-induced causes"	"A"	170	2663029	6.38	7.50
"Total"	"Utah"	"49"	"2008"	"2008"			653	2663029	24.52	27.18
	"Utah"	"49"	"2009"	"2009"	"Drug-induced causes"	"D"	508	2723421	18.65	20.46
	"Utah"	"49"	"2009"	"2009"	"Alcohol-induced causes"	"A"	173	2723421	6.35	7.64
"Total"	"Utah"	"49"	"2009"	"2009"			681	2723421	25.01	28.10
	"Utah"	"49"	"2010"	"2010"	"Drug-induced causes"	"D"	457	2763885	16.53	17.93
	"Utah"	"49"	"2010"	"2010"	"Alcohol-induced causes"	"A"	182	2763885	6.58	7.75
"Total"	"Utah"	"49"	"2010"	"2010"			639	2763885	23.12	25.70
	"Utah"	"49"	"2011"	"2011"	"Drug-induced causes"	"D"	520	2817222	18.46	20.14
	"Utah"	"49"	"2011"	"2011"	"Alcohol-induced causes"	"A"	166	2817222	5.89	6.81
"Total"	"Utah"	"49"	"2011"	"2011"			686	2817222	24.35	26.97
	"Utah"	"49"	"2012"	"2012"	"Drug-induced causes"	"D"	612	2855287	21.43	23.55
	"Utah"	"49"	"2012"	"2012"	"Alcohol-induced causes"	"A"	203	2855287	7.11	8.05
"Total"	"Utah"	"49"	"2012"	"2012"			815	2855287	28.54	31.57
	"Utah"	"49"	"2013"	"2013"	"Drug-induced causes"	"D"	612	2900872	21.10	22.80
	"Utah"	"49"	"2013"	"2013"	"Alcohol-induced causes"	"A"	215	2900872	7.41	8.35
"Total"	"Utah"	"49"	"2013"	"2013"			827	2900872	28.51	31.19
	"Utah"	"49"	"2014"	"2014"	"Drug-induced causes"	"D"	617	2942902	20.97	23.00
	"Utah"	"49"	"2014"	"2014"	"Alcohol-induced causes"	"A"	238	2942902	8.09	9.08
"Total"	"Utah"	"49"	"2014"	"2014"			855	2942902	29.05	32.08
	"Utah"	"49"	"2015"	"2015"	"Drug-induced causes"	"D"	667	2995919	22.26	24.18
	"Utah"	"49"	"2015"	"2015"	"Alcohol-induced causes"	"A"	266	2995919	8.88	9.84
"Total"	"Utah"	"49"	"2015"	"2015"			933	2995919	31.14	34.02
	"Utah"	"49"	"2016"	"2016"	"Drug-induced causes"	"D"	685	3051217	22.45	24.05
	"Utah"	"49"	"2016"	"2016"	"Alcohol-induced causes"	"A"	278	3051217	9.11	9.88
"Total"	"Utah"	"49"	"2016"	"2016"			963	3051217	31.56	33.94
	"Utah"	"49"	"2017"	"2017"	"Drug-induced causes"	"D"	691	3101833	22.28	23.71
	"Utah"	"49"	"2017"	"2017"	"Alcohol-induced causes"	"A"	259	3101833	8.35	9.27
"Total"	"Utah"	"49"	"2017"	"2017"			950	3101833	30.63	32.97
"Total"	"Utah"	"49"					12352	50203457	24.60	27.61
	"Vermont"	"50"	"1999"	"1999"	"Drug-induced causes"	"D"	31	604683	5.13	5.02
	"Vermont"	"50"	"1999"	"1999"	"Alcohol-induced causes"	"A"	37	604683	6.12	5.81
"Total"	"Vermont"	"50"	"1999"	"1999"			68	604683	11.25	10.81
	"Vermont"	"50"	"2000"	"2000"	"Drug-induced causes"	"D"	37	608827	6.08	5.95
	"Vermont"	"50"	"2000"	"2000"	"Alcohol-induced causes"	"A"	38	608827	6.24	5.94
"Total"	"Vermont"	"50"	"2000"	"2000"			75	608827	12.32	11.88
	"Vermont"	"50"	"2001"	"2001"	"Drug-induced causes"	"D"	53	612223	8.66	8.55
	"Vermont"	"50"	"2001"	"2001"	"Alcohol-induced causes"	"A"	38	612223	6.21	5.85
"Total"	"Vermont"	"50"	"2001"	"2001"			91	612223	14.86	14.40
	"Vermont"	"50"	"2002"	"2002"	"Drug-induced causes"	"D"	54	615442	8.77	8.70
	"Vermont"	"50"	"2002"	"2002"	"Alcohol-induced causes"	"A"	68	615442	11.05	10.14
"Total"	"Vermont"	"50"	"2002"	"2002"			122	615442	19.82	18.85
	"Vermont"	"50"	"2003"	"2003"	"Drug-induced causes"	"D"	73	617858	11.82	11.51
	"Vermont"	"50"	"2003"	"2003"	"Alcohol-induced causes"	"A"	61	617858	9.87	9.06
"Total"	"Vermont"	"50"	"2003"	"2003"			134	617858	21.69	20.57
	"Vermont"	"50"	"2004"	"2004"	"Drug-induced causes"	"D"	52	619920	8.39	8.32
	"Vermont"	"50"	"2004"	"2004"	"Alcohol-induced causes"	"A"	58	619920	9.36	8.54
"Total"	"Vermont"	"50"	"2004"	"2004"			110	619920	17.74	16.84
	"Vermont"	"50"	"2005"	"2005"	"Drug-induced causes"	"D"	55	621215	8.85	8.83
	"Vermont"	"50"	"2005"	"2005"	"Alcohol-induced causes"	"A"	53	621215	8.53	7.47
"Total"	"Vermont"	"50"	"2005"	"2005"			108	621215	17.39	16.28
	"Vermont"	"50"	"2006"	"2006"	"Drug-induced causes"	"D"	83	622892	13.32	13.49
	"Vermont"	"50"	"2006"	"2006"	"Alcohol-induced causes"	"A"	63	622892	10.11	8.71
"Total"	"Vermont"	"50"	"2006"	"2006"			146	622892	23.44	22.19
	"Vermont"	"50"	"2007"	"2007"	"Drug-induced causes"	"D"	68	623481	10.91	11.18
	"Vermont"	"50"	"2007"	"2007"	"Alcohol-induced causes"	"A"	63	623481	10.10	8.13
"Total"	"Vermont"	"50"	"2007"	"2007"			131	623481	21.01	19.33
	"Vermont"	"50"	"2008"	"2008"	"Drug-induced causes"	"D"	76	624151	12.18	11.31
	"Vermont"	"50"	"2008"	"2008"	"Alcohol-induced causes"	"A"	62	624151	9.93	8.87
"Total"	"Vermont"	"50"	"2008"	"2008"			138	624151	22.11	20.13
	"Vermont"	"50"	"2009"	"2009"	"Drug-induced causes"	"D"	57	624817	9.12	8.61
	"Vermont"	"50"	"2009"	"2009"	"Alcohol-induced causes"	"A"	65	624817	10.40	8.28
"Total"	"Vermont"	"50"	"2009"	"2009"			122	624817	19.53	16.91
	"Vermont"	"50"	"2010"	"2010"	"Drug-induced causes"	"D"	68	625741	10.87	10.29
	"Vermont"	"50"	"2010"	"2010"	"Alcohol-induced causes"	"A"	59	625741	9.43	7.86
"Total"	"Vermont"	"50"	"2010"	"2010"			127	625741	20.30	18.14
	"Vermont"	"50"	"2011"	"2011"	"Drug-induced causes"	"D"	87	626431	13.89	13.36
	"Vermont"	"50"	"2011"	"2011"	"Alcohol-induced causes"	"A"	87	626431	13.89	11.16
"Total"	"Vermont"	"50"	"2011"	"2011"			174	626431	27.78	24.53
	"Vermont"	"50"	"2012"	"2012"	"Drug-induced causes"	"D"	81	626011	12.94	12.45
	"Vermont"	"50"	"2012"	"2012"	"Alcohol-induced causes"	"A"	66	626011	10.54	8.00
"Total"	"Vermont"	"50"	"2012"	"2012"			147	626011	23.48	20.48
	"Vermont"	"50"	"2013"	"2013"	"Drug-induced causes"	"D"	99	626630	15.80	15.94
	"Vermont"	"50"	"2013"	"2013"	"Alcohol-induced causes"	"A"	100	626630	15.96	12.68
"Total"	"Vermont"	"50"	"2013"	"2013"			199	626630	31.76	28.61
	"Vermont"	"50"	"2014"	"2014"	"Drug-induced causes"	"D"	90	626562	14.36	14.97
	"Vermont"	"50"	"2014"	"2014"	"Alcohol-induced causes"	"A"	93	626562	14.84	10.87
"Total"	"Vermont"	"50"	"2014"	"2014"			183	626562	29.21	25.83
	"Vermont"	"50"	"2015"	"2015"	"Drug-induced causes"	"D"	111	626042	17.73	18.54
	"Vermont"	"50"	"2015"	"2015"	"Alcohol-induced causes"	"A"	96	626042	15.33	11.90
"Total"	"Vermont"	"50"	"2015"	"2015"			207	626042	33.06	30.48
	"Vermont"	"50"	"2016"	"2016"	"Drug-induced causes"	"D"	131	624594	20.97	23.35
	"Vermont"	"50"	"2016"	"2016"	"Alcohol-induced causes"	"A"	98	624594	15.69	12.46
"Total"	"Vermont"	"50"	"2016"	"2016"			229	624594	36.66	35.79
	"Vermont"	"50"	"2017"	"2017"	"Drug-induced causes"	"D"	145	623657	23.25	25.03
	"Vermont"	"50"	"2017"	"2017"	"Alcohol-induced causes"	"A"	94	623657	15.07	11.84
"Total"	"Vermont"	"50"	"2017"	"2017"			239	623657	38.32	36.85
"Total"	"Vermont"	"50"					2750	11801177	23.30	21.55
	"Virginia"	"51"	"1999"	"1999"	"Drug-induced causes"	"D"	391	7000174	5.59	5.41
	"Virginia"	"51"	"1999"	"1999"	"Alcohol-induced causes"	"A"	333	7000174	4.76	4.78
"Total"	"Virginia"	"51"	"1999"	"1999"			724	7000174	10.34	10.19
	"Virginia"	"51"	"2000"	"2000"	"Drug-induced causes"	"D"	441	7078515	6.23	6.05
	"Virginia"	"51"	"2000"	"2000"	"Alcohol-induced causes"	"A"	358	7078515	5.06	5.03
"Total"	"Virginia"	"51"	"2000"	"2000"			799	7078515	11.29	11.08
	"Virginia"	"51"	"2001"	"2001"	"Drug-induced causes"	"D"	503	7198362	6.99	6.79
	"Virginia"	"51"	"2001"	"2001"	"Alcohol-induced causes"	"A"	350	7198362	4.86	4.76
"Total"	"Virginia"	"51"	"2001"	"2001"			853	7198362	11.85	11.54
	"Virginia"	"51"	"2002"	"2002"	"Drug-induced causes"	"D"	527	7286873	7.23	7.04
	"Virginia"	"51"	"2002"	"2002"	"Alcohol-induced causes"	"A"	330	7286873	4.53	4.44
"Total"	"Virginia"	"51"	"2002"	"2002"			857	7286873	11.76	11.48
	"Virginia"	"51"	"2003"	"2003"	"Drug-induced causes"	"D"	580	7366977	7.87	7.68
	"Virginia"	"51"	"2003"	"2003"	"Alcohol-induced causes"	"A"	391	7366977	5.31	5.10
"Total"	"Virginia"	"51"	"2003"	"2003"			971	7366977	13.18	12.78
	"Virginia"	"51"	"2004"	"2004"	"Drug-induced causes"	"D"	595	7475575	7.96	7.81
	"Virginia"	"51"	"2004"	"2004"	"Alcohol-induced causes"	"A"	332	7475575	4.44	4.19
"Total"	"Virginia"	"51"	"2004"	"2004"			927	7475575	12.40	12.01
	"Virginia"	"51"	"2005"	"2005"	"Drug-induced causes"	"D"	617	7577105	8.14	7.98
	"Virginia"	"51"	"2005"	"2005"	"Alcohol-induced causes"	"A"	350	7577105	4.62	4.37
